OBJECTID,Name,Province,Station_ID,Latitude__,Longitude_,Elevation_
21,PAULATUK A,NORTHWEST TERRITORIES,53420,69.36,-124.08,5
22,PAULATUK A,NORTHWEST TERRITORIES,53418,69.36,-124.08,5
23,PAULATUK A,NORTHWEST TERRITORIES,1685,69.36,-124.08,5
26,TUKTOYAKTUK A,NORTHWEST TERRITORIES,53582,69.43,-133.03,4
27,TUKTOYAKTUK A,NORTHWEST TERRITORIES,1700,69.43,-133.03,4
28,TUKTOYAKTUK A,NORTHWEST TERRITORIES,53581,69.43,-133.03,4
34,ARVIAT AWOS,NUNAVUT,47427,61.1,-94.07,10
37,BAKER LAKE A,NUNAVUT,1709,64.3,-96.08,19
39,BAKER LAKE A,NUNAVUT,51417,64.3,-96.08,19
40,BAKER LAKE A,NUNAVUT,54138,64.3,-96.08,19
52,KUGLUKTUK A,NUNAVUT,1641,67.82,-115.14,23
53,KUGLUKTUK A,NUNAVUT,53335,67.82,-115.14,23
55,KUGLUKTUK A,NUNAVUT,54158,67.82,-115.14,23
58,CORAL HARBOUR A,NUNAVUT,1713,64.19,-83.36,62
59,CORAL HARBOUR A,NUNAVUT,53421,64.19,-83.36,62
60,CORAL HARBOUR A,NUNAVUT,54220,64.19,-83.36,62
67,GJOA HAVEN A,NUNAVUT,1715,68.64,-95.85,47
68,GJOA HAVEN A,NUNAVUT,51082,68.64,-95.85,47
69,GJOA HAVEN A,NUNAVUT,51079,68.64,-95.85,47
70,GJOA HAVEN AWOS A,NUNAVUT,31268,68.64,-95.85,47
77,LUPIN A,NUNAVUT,1671,65.76,-111.25,490
79,KUGAARUK A,NUNAVUT,53515,68.54,-89.81,16
80,KUGAARUK A,NUNAVUT,1719,68.54,-89.8,16
84,RANKIN INLET,NUNAVUT,1720,62.8,-92.07,30
85,RANKIN INLET A,NUNAVUT,1721,62.82,-92.12,32
86,RANKIN INLET ARTC,NUNAVUT,1722,62.82,-92.08,14
87,RANKIN INLET A,NUNAVUT,51277,62.81,-92.11,32
105,GJOA HAVEN,NUNAVUT,10830,68.66,-95.87,51
106,LUPIN CS,NUNAVUT,27376,65.76,-111.25,488
107,ALERT BASE (AUT),NUNAVUT,7350,82.5,-62.37,92
108,ALERT CLIMATE,NUNAVUT,42463,82.5,-62.33,65
109,ALERT UA,NUNAVUT,10744,82.5,-62.33,65
110,ARCTIC BAY,NUNAVUT,48973,73.01,-85.05,22
111,ARCTIC BAY A,NUNAVUT,50497,73.01,-85.05,22
112,ARCTIC BAY A,NUNAVUT,49328,73.01,-85.05,22
119,QIKIQTARJUAQ AWOS,NUNAVUT,47428,67.55,-64.03,6
120,QIKIQTARJUAQ A,NUNAVUT,8271,67.55,-64.03,6
121,QIKIQTARJUAQ CLIMATE,NUNAVUT,42803,67.55,-64.03,6
123,QIKIQTARJUAQ A,NUNAVUT,51177,67.55,-64.03,5
124,QIKIQTARJUAQ A,NUNAVUT,51218,67.55,-64.03,6
126,CAPE DORSET AWOS,NUNAVUT,47447,64.23,-76.53,48
127,CAPE DORSET A,NUNAVUT,1738,64.23,-76.53,48
129,CAPE DORSET A,NUNAVUT,50328,64.23,-76.53,48
137,CLYDE A,NUNAVUT,1743,70.49,-68.52,26
138,CLYDE AWOS,NUNAVUT,47387,70.49,-68.52,26
139,CLYDE RIVER CLIMATE,NUNAVUT,42244,70.48,-68.52,26
140,CLYDE RIVER A,NUNAVUT,51078,70.49,-68.52,26
141,CLYDE RIVER A,NUNAVUT,51077,70.49,-68.52,26
142,CAPE MERCY,NUNAVUT,10839,64.96,-63.58,583
143,DEWAR LAKES,NUNAVUT,1746,68.65,-71.17,527
152,GRISE FIORD A,NUNAVUT,53513,76.43,-82.91,41
155,GRISE FIORD,NUNAVUT,1753,76.42,-82.95,2
156,GRISE FIORD,NUNAVUT,1754,76.42,-82.9,43
157,HALL BEACH A,NUNAVUT,1755,68.78,-81.24,9
159,HALL BEACH AWOS,NUNAVUT,47467,68.78,-81.24,9
160,HALL BEACH CLIMATE,NUNAVUT,42483,68.78,-81.24,8
161,HALL BEACH A,NUNAVUT,50498,68.78,-81.24,9
162,HALL BEACH A,NUNAVUT,50499,68.78,-81.24,9
163,GRISE FIORD A,NUNAVUT,53514,76.43,-82.91,41
169,IQALUIT A,NUNAVUT,1758,63.75,-68.55,34
170,IQALUIT AWOS,NUNAVUT,47388,63.75,-68.55,34
171,IQALUIT CLIMATE,NUNAVUT,42503,63.75,-68.54,34
172,IQALUIT UA,NUNAVUT,10082,63.75,-68.55,22
173,IQALUIT A,NUNAVUT,52079,63.76,-68.56,34
177,KIMMIRUT A,NUNAVUT,51424,62.85,-69.88,52
178,KIMMIRUT A,NUNAVUT,53517,62.85,-69.88,52
199,POND INLET,NUNAVUT,1773,72.68,-77.98,4
200,POND INLET A,NUNAVUT,1774,72.69,-77.97,62
201,POND INLET AWOS,NUNAVUT,47488,72.69,-77.97,62
202,POND INLET CLIMATE,NUNAVUT,43223,72.69,-77.96,65
203,POND INLET A,NUNAVUT,51081,72.69,-77.97,62
204,POND INLET A,NUNAVUT,51080,72.69,-77.97,62
209,RESOLUTE BAY A,NUNAVUT,54199,74.72,-94.97,68
210,RESOLUTE BAY A,NUNAVUT,53060,74.72,-94.97,68
211,RESOLUTE CARS,NUNAVUT,1776,74.72,-94.97,68
212,RESOLUTE CS,NUNAVUT,32150,74.72,-94.98,30
219,TALOYOAK A,NUNAVUT,1783,69.55,-93.58,27
220,TALOYOAK A,NUNAVUT,53340,69.55,-93.58,27
221,TALOYOAK A,NUNAVUT,54219,69.55,-93.58,27
230,KIMMIRUT A,NUNAVUT,8272,62.85,-69.88,52
231,NANGMAGVIK LAKE,NORTHWEST TERRITORIES,27118,74.14,-119.99,32
234,ULUKHAKTOK A,NORTHWEST TERRITORIES,1789,70.76,-117.81,36
235,ULUKHAKTOK A,NORTHWEST TERRITORIES,53332,70.76,-117.81,36
236,ULUKHAKTOK A,NORTHWEST TERRITORIES,53329,70.76,-117.81,36
237,HOLMAN CS,NORTHWEST TERRITORIES,29715,70.76,-117.8,30
241,SACHS HARBOUR CLIMATE,NORTHWEST TERRITORIES,10076,71.99,-125.25,88
242,SACHS HARBOUR A,NORTHWEST TERRITORIES,53326,71.99,-125.24,86
243,SACHS HARBOUR A,NORTHWEST TERRITORIES,1794,72,-125.27,86
244,SACHS HARBOUR A,NORTHWEST TERRITORIES,53328,71.99,-125.24,86
247,AKULIVIK,QUEBEC,49308,60.83,-78.17,77
248,AKULIVIK A,QUEBEC,54067,60.82,-78.15,23
249,AKULIVIK A,QUEBEC,10789,60.82,-78.15,23
256,KUUJJUARAPIK A,QUEBEC,6083,55.28,-77.75,12
257,KUUJJUARAPIK,QUEBEC,53978,55.37,-77.57,30
258,PUVIRNITUQ A,QUEBEC,10877,60.05,-77.28,25
259,PUVIRNITUQ A,QUEBEC,52038,60.05,-77.29,25
260,UMIUJAQ A,QUEBEC,54069,56.54,-76.52,76
261,UMIUJAQ A,QUEBEC,10878,56.53,-76.52,76
276,KUUJJUAQ A,QUEBEC,6095,58.1,-68.42,40
277,KUUJJUAQ A,QUEBEC,52179,58.09,-68.42,40
